Gene,scores,logfoldchanges,pvals,pvals_adj
HLA-E,16.02972,4.084062,1.002737505556589e-19,4.743650317536555e-15
TAP1,15.862467,7.167754,1.9107579836093154e-18,3.0130742643535295e-14
HCP5,14.970321,3.6540592,1.6186822222536341e-18,3.0130742643535295e-14
STAT1,14.04811,5.7802076,1.0758391484901228e-17,1.2723680649405559e-13
STAT1,13.59882,3.091082,4.864254354935943e-16,4.602265615379094e-12
LOC100419583,12.048618,1.7746985,3.084081069284532e-15,2.0842660449234766e-11
STAT1,11.856185,3.632278,1.891085408245546e-15,1.491026290131201e-11
PSMB8,11.745843,2.2186491,1.3810973686967684e-13,5.939597565539821e-10
PSMB8,11.734658,1.5599958,1.1445031711578554e-14,6.767876439745583e-11
GBP1,11.552156,3.4006653,1.2489588220682173e-12,3.40191223267858e-09
RFX5,10.80503,1.1732303,1.2213795580259134e-13,5.777980275153188e-10
BLM,10.756239,3.9585886,3.8104146679746575e-14,2.0028809633097458e-10
GBP1,10.670157,3.412536,2.3029987983509466e-11,3.404623879799632e-08
OXCT1,10.59033,2.1025596,2.656528379667078e-13,9.925477539163254e-10
UBE2L6,10.347249,3.049617,3.1403945251583487e-13,1.0611617414404715e-09
PARP9,10.318174,1.8726723,2.7275288648428837e-13,9.925477539163254e-10
IRF1,10.267383,2.247483,7.959442210358952e-13,2.5102488843030064e-09
BTN3A1,9.849689,1.3878366,2.5096256492593304e-12,5.936143029475557e-09
GBP1P1,9.823159,2.2092369,7.680985632553373e-12,1.5140182804966767e-08
PSME1,9.772892,3.3373787,1.6507655212114198e-12,4.110145500628876e-09
GBP4,9.621227,3.750356,2.3072339571175413e-10,1.7054424501462425e-07
RARRES3,9.611368,5.932479,6.723706261949745e-12,1.3829494440611157e-08
CEP78,9.511009,1.4271343,4.758231483959214e-12,1.0231711673257207e-08
PSMB9,9.485204,2.1552033,1.1056575103712366e-11,2.011743840120465e-08
IFI27,9.444886,7.272609,2.8296127234453133e-12,6.374309005144163e-09
LAP3,9.288121,3.2294695,1.187434456986029e-10,1.1002040539834555e-07
PSMA4,9.162863,1.9978272,1.1609341822528823e-11,2.034085679993967e-08
MCM3,9.156679,1.3368683,1.9340106457225264e-11,2.9513626328127602e-08
NUP210,9.13631,1.9505132,1.4657894782041913e-11,2.4765036730502028e-08
GFI1,9.086564,1.7530673,1.2249918632623318e-10,1.1002040539834555e-07
EPSTI1,9.071566,3.0922456,8.211823169113069e-12,1.5539068746449277e-08
EZH2,9.033514,1.231507,6.471853013146197e-11,7.289617868878741e-08
MMP25,9.022044,2.3601956,1.2924780026312148e-09,6.053787808957909e-07
TMEM237,8.978582,1.8012826,2.9237685864407917e-11,4.068080015257486e-08
RIPK2,8.968421,2.228498,1.2916444565805794e-09,6.053787808957909e-07
IFI35,8.933026,1.3049464,1.740394119015785e-11,2.8390629168372326e-08
FANCD2,8.918268,1.4078394,2.0469344129374958e-10,1.5618439721424857e-07
CDC25B,8.891246,2.2718282,7.343003112019006e-11,7.89489655046098e-08
HLA-B,8.857391,8.908323,1.8604014014911436e-11,2.9336669700113845e-08
PSMA1,8.850704,1.0511783,3.565090422877203e-11,4.558208990136536e-08
CARD16,8.829019,1.3953183,1.0254108552686216e-10,1.0106064860456809e-07
E2F3,8.815529,1.1602516,3.5623898082654204e-11,4.558208990136536e-08
ITGAL,8.74674,2.604553,8.666657061235628e-10,4.6590175635894755e-07
IFI30,8.7430725,1.0341794,7.107133378361828e-11,7.819003691399139e-08
ATAD2,8.68634,1.1770641,3.079850895433912e-11,4.1628144660083445e-08
ACOT7,8.6347475,1.8855264,1.9895248613949232e-10,1.5429254527542563e-07
E2F5,8.617511,2.8890445,2.78692264325208e-09,9.912853344686177e-07
PARP9,8.616571,1.3391604,4.4554435392048286e-11,5.2693416877290706e-08
PSMB10,8.592302,3.6164742,3.3816849161605007e-10,2.2532023708282367e-07
CD3D,8.584378,2.3249586,5.611059839970418e-10,3.318030098118507e-07
CASP1,8.564196,2.3175461,1.216318935390639e-10,1.1002040539834555e-07
GBP2,8.549486,2.5721066,1.6223018458874202e-10,1.395386062243567e-07
MDC1,8.542965,1.1469637,8.266003594213915e-11,8.500865913727775e-08
IRF9,8.490598,1.7396706,1.7985723565890775e-10,1.4669838357441293e-07
C2,8.458941,2.5310204,4.3100130230041875e-09,1.323985623891293e-06
CD3D,8.447542,2.2594213,1.4797035558953696e-09,6.485718700693138e-07
CXCR6,8.441306,4.1555877,4.204663769956721e-09,1.3000655487930888e-06
,8.413825,2.1865268,2.593378204628416e-09,9.294313842905794e-07
FANCI,8.410625,3.1057305,2.6712478818933735e-10,1.8861003514735794e-07
AKNA,8.369434,1.5152973,5.204487150645222e-10,3.156521456866327e-07
CASP1,8.368389,2.4688501,2.9570653531458286e-10,2.0572042744304369e-07
MCM2,8.362384,1.6733099,2.620140264410794e-10,1.8853527011731728e-07
KNTC1,8.361445,1.2201637,3.367970585639293e-10,2.2532023708282367e-07
CD40,8.324391,2.3662784,1.6882601878087707e-10,1.4261879411548128e-07
BIRC3,8.316572,3.1395562,1.8334783506501183e-09,7.549982640966374e-07
CD8A,8.297297,2.418712,1.4806637911405477e-09,6.485718700693138e-07
TMEM206,8.288371,1.57098,1.1313641233702451e-10,1.092274338454616e-07
LDHB,8.24244,1.6511403,1.5237869061508385e-09,6.568060685117276e-07
RAC2,8.231108,2.2326703,2.552201003758982e-09,9.216562815635585e-07
CXCL10,8.189567,4.185426,1.0277452562538797e-08,2.4759821103673868e-06
CCL5,8.188074,3.779089,9.9369090288417e-10,5.109623428558851e-07
